document_id,country,file_name,relative_path,sha256,size_bytes,status,document_type,source_verified
ZA_AFRICA-DO-,África do Sul,africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,africa-do-sul/africa-do-sul_caps_computer-applications-technology_grades-10-12.pdf,ffe79d3f9b8debec06fad7be90e2942b8f8836eaae7412e68595055c64e28dc6,1439038,available,document,false
ZA_AFRICA-DO-,África do Sul,africa-do-sul_caps_information-technology_grades-10-12.pdf,africa-do-sul/africa-do-sul_caps_information-technology_grades-10-12.pdf,207a99fd0f1d8bda869743e0c1c6d7c8dafea6c59e9470f9a58b979ecc7796e0,1541692,available,document,false
AU_AUSTRALIA_,Austrália,australia_digital-technologies-v9_sequence-achievement_2022.pdf,australia/australia_digital-technologies-v9_sequence-achievement_2022.pdf,b61d8ac8880ebc56554e487f5f13aa0578372574337cbfa76c6789c13fa9be91,114157,available,digital_education,false
AU_AUSTRALIA_,Austrália,australia_digital-technologies-v9_sequence-content_2022.pdf,australia/australia_digital-technologies-v9_sequence-content_2022.pdf,3469c2340cdd64bdd728313e586fc874328592671e85ac47f915a46863f01a8e,139289,available,digital_education,false
BR_BRASIL_BNC,Brasil,brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,brasil/brasil_bncc-computacao_anexo-parecer-cneceb-2_2022.pdf,b0f021db3c7c2c042b821cec5fab7d77ed1888dbb61590461ce2afef404865b7,1426596,available,curricular_base,false
BR_BRASIL_BNC,Brasil,brasil_bncc-computacao_complemento-bncc_2022.pdf,brasil/brasil_bncc-computacao_complemento-bncc_2022.pdf,60aab0b192acf867bc582dc06678cd8f3bc597e8f1b65256fc7bf04190bb793d,1426590,available,curricular_base,false
BR_BRASIL_BNC,Brasil,brasil_bncc_educacao-basica_completa_2018.pdf,brasil/brasil_bncc_educacao-basica_completa_2018.pdf,ad623d7b33986a4e87e1441a4e675064cd30db3650b86a75caefa476e802272b,3058960,available,curricular_base,false
BR_BRASIL_BNC,Brasil,brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,brasil/brasil_bncc_educacao-infantil-ensino-fundamental_2018.pdf,ad623d7b33986a4e87e1441a4e675064cd30db3650b86a75caefa476e802272b,3058960,available,curricular_base,false
BR_BRASIL_CIE,Brasil,brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf,brasil/brasil_cieb-itinerario-formativo-tecnologia-computacao_2021.pdf,d31ab6099b10988af6591a31504e25ee6e350cc670891af40798b773d443d2d8,1927573,available,digital_education,false
BR_BRASIL_CUR,Brasil,brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,brasil/brasil_curriculo-referencia-tecnologia-computacao-cieb_2018.pdf,7f2517b8f7512ca83a2a525c1e130fe733a74f4e804da9a297ff5aa72f892764,948770,available,curriculum,false
BR_BRASIL_GUI,Brasil,brasil_guia-complemento-computacao-bncc_2023.pdf,brasil/brasil_guia-complemento-computacao-bncc_2023.pdf,7383d84714ec10f2fed2fdd15c0d894dfeec85b5480b60061a50d303eb565feb,192742,available,curricular_base,false
BR_BRASIL_GUI,Brasil,brasil_guia-educacao-digital-midiatica_2025.pdf,brasil/brasil_guia-educacao-digital-midiatica_2025.pdf,5dc417560d7bd687e8320a0bcd26da700e04c58e7ed29f4e24294742663b9b5d,1109949,available,digital_education,false
BR_BRASIL_LDB,Brasil,brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,brasil/brasil_ldb-lei-9394_compilada_1996-atualizada.pdf,ce737c7560efb29e27421f1daad04988be4b80cc463bd4d44995e0cc0880ffd7,959237,available,document,false
BR_BRASIL_MAT,Brasil,brasil_matriz-saberes-digitais-docentes_2024.pdf,brasil/brasil_matriz-saberes-digitais-docentes_2024.pdf,4f824a4529e6938a9b84c40953b28339d035b0fc91b8f3ba64108c5947323144,1011072,available,document,false
BR_BRASIL_NOT,Brasil,brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,brasil/brasil_nota-tecnica-cieb-27_competencias-digitais-professores_2025.pdf,1b9267b07082a1d65e4aa2a45b545b0bde2df7c445a1e8cf685fcdfc9f1bc745,3011388,available,competence_framework,false
BR_BRASIL_PAR,Brasil,brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,brasil/brasil_parecer-cne-ceb-2_bncc-computacao_2022.pdf,03fa6616e7b92b9f382b3c4177acce23b49b6fe8e2d787fc86326908179fa144,617783,available,curricular_base,false
BR_BRASIL_PAR,Brasil,brasil_parecer-cne-cp-15_bncc_2017.pdf,brasil/brasil_parecer-cne-cp-15_bncc_2017.pdf,f60aeea416bfb36caebe4509fed5ddf27393224b2f08d25696d96762b5ce8b60,1226157,available,curricular_base,false
BR_BRASIL_PAR,Brasil,brasil_parecer-cne-cp-7_bncc_2022.pdf,brasil/brasil_parecer-cne-cp-7_bncc_2022.pdf,13db081f394177e96d1f41d9ed9cd0dc340999dbd329d7ade5dd41f68704e4e6,345353,available,curricular_base,false
BR_BRASIL_POL,Brasil,brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,brasil/brasil_politica-nacional-educacao-digital-lei-14533_2023.pdf,edb05414bdeafe304877565cb2ad26e29a8a66ae4953132109ca388133238b0e,230336,available,digital_education,false
BR_BRASIL_REF,Brasil,brasil_referencial-saberes-digitais-docentes_2024.pdf,brasil/brasil_referencial-saberes-digitais-docentes_2024.pdf,4f824a4529e6938a9b84c40953b28339d035b0fc91b8f3ba64108c5947323144,1011072,available,document,false
BR_BRASIL_RES,Brasil,brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf,brasil/brasil_resolucao-cne-ceb-1_bncc-computacao_2022.pdf,cdf24bb1b5e7adf2f45e5e17da4cedb1a1d4fcd7a51b9daee0f5de0d3c11c39f,56344,available,curricular_base,false
BR_BRASIL_RES,Brasil,brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,brasil/brasil_resolucao-cne-ceb-2_diretrizes-dispositivos-digitais-educacao-digital-midiatica_2025.pdf,0a3c1a814db467880f9eca6c3f2d4efa9e61d3e71b5f86aa9ef5f3413f04d76e,166156,available,digital_education,false
BR_BRASIL_RES,Brasil,brasil_resolucao-cne-cp-2_bncc_2017.pdf,brasil/brasil_resolucao-cne-cp-2_bncc_2017.pdf,c8efab8f95341275027112d9244ceec8d49976682fb9d6f667842daa7faecae3,202550,available,curricular_base,false
